Tidstämpel,Estimerad tid,Grupp,Tidsskattningserfarenhet,Läst artikel på förhand,Kommentar
2016-02-11 13.16.59,30,A,8,,
2016-02-11 13.17.09,30,A,1,,
2016-02-11 13.18.55,30,A,4,,
2016-02-11 13.19.11,150,A,2,,
2016-02-11 13.21.53,120,B,3,,
2016-02-11 13.22.07,90,A,3,,Ansåg att labben var händelserik där ens kognitiva förmåga och beslutsamhet fick sättas på prov. Påhittighet och kreativitets höjdes till en högre nivå för att matcha svårigheten av labben.
2016-02-11 13.22.44,60,A,4,Ja,
2016-02-11 13.26.03,50,B,3,,
2016-02-11 13.26.20,150,B,3,,
2016-02-11 13.26.45,60,B,2,Ja,
2016-02-11 13.27.42,90,B,2,,
2016-02-11 13.28.19,40,B,3,,
