Sorting times: (sorted 600 times), 
1, 27906270
2, 4237690
3, 2044534
4, 2876623
5, 996356
6, 1131289
7, 1002222
8, 1043289
9, 1007111
10, 966533
11, 865823
12, 1652444
13, 818400
14, 828178
15, 794445
16, 823289
17, 860933
18, 924977
19, 780267
20, 740667
21, 705955
22, 707423
23, 703022
24, 6201068
25, 641911
26, 589600
27, 531911
28, 558311
29, 534844
30, 530934
31, 550000
32, 539733
33, 532400
34, 543644
35, 738222
36, 539244
37, 527511
38, 589112
39, 547067
40, 469822
41, 467867
42, 465911
43, 462489
44, 516755
45, 464934
46, 469333
47, 463466
48, 468844
49, 502578
50, 470311
51, 462978
52, 463956
53, 462000
54, 468844
55, 369111
56, 364712
57, 363733
58, 363244
59, 390133
60, 363244
61, 373023
62, 362266
63, 365689
64, 369111
65, 362266
66, 390622
67, 366178
68, 367156
69, 369111
70, 364222
71, 367155
72, 364711
73, 368133
74, 366177
75, 364223
76, 374000
77, 367156
78, 362756
79, 401377
80, 340755
81, 324622
82, 355911
83, 375955
84, 319733
85, 250800
86, 252267
87, 250800
88, 249822
89, 291378
90, 250311
91, 251289
92, 249333
93, 250311
94, 250801
95, 251289
96, 251289
97, 249822
98, 252756
99, 251289
100, 283556
101, 255688
102, 286001
103, 249822
104, 252756
105, 405289
106, 334401
107, 252756
108, 266933
109, 368134
110, 256177
111, 308489
112, 395022
113, 277200
114, 259111
115, 254222
116, 335378
117, 250800
118, 249333
119, 304578
120, 252755
121, 318756
122, 250800
123, 251289
124, 291867
125, 253245
126, 306045
127, 252756
128, 269378
129, 300178
130, 255200
131, 300667
132, 256177
133, 258133
134, 284044
135, 251778
136, 289911
137, 287955
138, 256177
139, 300667
140, 255689
141, 304578
142, 252756
143, 250311
144, 289911
145, 342711
146, 275244
147, 258622
148, 258134
149, 334889
150, 266445
151, 348089
152, 509911
153, 272311
154, 355422
155, 269867
156, 329511
157, 259600
158, 299689
159, 257644
160, 316800
161, 316800
162, 261067
163, 307511
164, 259600
165, 259112
166, 363245
167, 260578
168, 300178
169, 265466
170, 369112
171, 357378
172, 236134
173, 285022
174, 236622
175, 235644
176, 293822
177, 242489
178, 341245
179, 245911
180, 241511
181, 288444
182, 244445
183, 363733
184, 243956
185, 240534
186, 241022
187, 241022
188, 351023
189, 242978
190, 238089
191, 280134
192, 241022
193, 285511
194, 241511
195, 239555
196, 321689
197, 242000
198, 275244
199, 239066
200, 241511
201, 279644
202, 242489
203, 291377
204, 253734
205, 240533
206, 300667
207, 240534
208, 246889
209, 288445
210, 238089
211, 293334
212, 240533
213, 277200
214, 238089
215, 240044
216, 286489
217, 240045
218, 285511
219, 235645
220, 381822
221, 301645
222, 264489
223, 327066
224, 239556
225, 240044
226, 287956
227, 244444
228, 243467
229, 239555
230, 238577
231, 281111
232, 240045
233, 242489
234, 242489
235, 273778
236, 286000
237, 237111
238, 287956
239, 238089
240, 253733
241, 267422
242, 238578
243, 276712
244, 237600
245, 238577
246, 281600
247, 240533
248, 321689
249, 240044
250, 239556
251, 300178
252, 245911
253, 279155
254, 242489
255, 238089
256, 288934
257, 238578
258, 245422
259, 239555
260, 240533
261, 296267
262, 239556
263, 273778
264, 241511
265, 237111
266, 277200
267, 237111
268, 239067
269, 242000
270, 237600
271, 290400
272, 239555
273, 268889
274, 353467
275, 242977
276, 273777
277, 240045
278, 277200
279, 302622
280, 238089
281, 317778
282, 263023
283, 311422
284, 325111
285, 240533
286, 295778
287, 229288
288, 271823
289, 274266
290, 233200
291, 270355
292, 233200
293, 278178
294, 313377
295, 234666
296, 264489
297, 234177
298, 276711
299, 259600
300, 230267
301, 432178
302, 217556
303, 267422
304, 221467
305, 218045
306, 247378
307, 218534
308, 251778
309, 221467
310, 218045
311, 257156
312, 217556
313, 299689
314, 222445
315, 222934
316, 249822
317, 216578
318, 218534
319, 219022
320, 217556
321, 220978
322, 217066
323, 268400
324, 242489
325, 219023
326, 221466
327, 257156
328, 243955
329, 208756
330, 265956
331, 207289
332, 207778
333, 251289
334, 209244
335, 208267
336, 210223
337, 205822
338, 211200
339, 209244
340, 246889
341, 210222
342, 206800
343, 209244
344, 244445
345, 263511
346, 206800
347, 210711
348, 261066
349, 207777
350, 241022
351, 207778
352, 210712
353, 251289
354, 207777
355, 251778
356, 210711
357, 208267
358, 210711
359, 236622
360, 243956
361, 208755
362, 210711
363, 242977
364, 207777
365, 251289
366, 209245
367, 214622
368, 256666
369, 206311
370, 237600
371, 207289
372, 208756
373, 242489
374, 241511
375, 251289
376, 208755
377, 208267
378, 251778
379, 212178
380, 212667
381, 207778
382, 205333
383, 246400
384, 214133
385, 254711
386, 209244
387, 207778
388, 259600
389, 239556
390, 261555
391, 206800
392, 218533
393, 245911
394, 209734
395, 411645
396, 367156
397, 208267
398, 251289
399, 207288
400, 210712
401, 205334
402, 207778
403, 274755
404, 208266
405, 207778
406, 273289
407, 209734
408, 250800
409, 206800
410, 253245
411, 207289
412, 206800
413, 239555
414, 207778
415, 241023
416, 243956
417, 208267
418, 280133
419, 206311
420, 256666
421, 207289
422, 207289
423, 259111
424, 212666
425, 243467
426, 210222
427, 333422
428, 245422
429, 210222
430, 211200
431, 211688
432, 241022
433, 260578
434, 207288
435, 240045
436, 207289
437, 311422
438, 244934
439, 207289
440, 208755
441, 207289
442, 249333
443, 267912
444, 207289
445, 235644
446, 239555
447, 281600
448, 242489
449, 207288
450, 246889
451, 206311
452, 208266
453, 250800
454, 209244
455, 259600
456, 207289
457, 247867
458, 241022
459, 208266
460, 257156
461, 240044
462, 208266
463, 253244
464, 209245
465, 256177
466, 207778
467, 207778
468, 364711
469, 206800
470, 243956
471, 207289
472, 212178
473, 276223
474, 171111
475, 261556
476, 171111
477, 173556
478, 201422
479, 174044
480, 296756
481, 199955
482, 169644
483, 246400
484, 171111
485, 220488
486, 171111
487, 170134
488, 198000
489, 171111
490, 176000
491, 170134
492, 169156
493, 173555
